Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Form of data:  Wavelength (nm) <tab> Transmission (0 to 1)	
566.6	0.004867973
566.8	0.004747598
567	0.0046302
567.2	0.004496728
567.4	0.004367104
567.6	0.004233593
567.8	0.004096786
568	0.0039644
568.2	0.003836691
568.4	0.003713096
568.6	0.003587443
568.8	0.003460215
569	0.0033375
569.2	0.003200895
569.4	0.003069882
569.6	0.002949356
569.8	0.002838494
570	0.0027318
570.2	0.002621311
570.4	0.002515291
570.6	0.002416706
570.8	0.002325014
571	0.0022368
571.2	0.002152386
571.4	0.002071157
571.6	0.001973702
571.8	0.001862625
572	0.0017578
572.2	0.001722881
572.4	0.001688657
572.6	0.001646825
572.8	0.001597988
573	0.0015506
573.2	0.001524758
573.4	0.001499346
573.6	0.001468453
573.8	0.001432435
574	0.0013973
574.2	0.001381038
574.4	0.001364966
574.6	0.001355557
574.8	0.001352675
575	0.0013498
575.2	0.001358399
575.4	0.001367053
575.6	0.001385065
575.8	0.001412805
576	0.0014411
576.2	0.001497815
576.4	0.001556762
576.6	0.001620062
576.8	0.001688054
577	0.0017589
577.2	0.001834975
577.4	0.001914339
577.6	0.001994663
577.8	0.002075782
578	0.0021602
578.2	0.002362493
578.4	0.00258373
578.6	0.002809875
578.8	0.003038719
579	0.0032862
579.2	0.003528336
579.4	0.003788314
579.6	0.004054961
579.8	0.004327052
580	0.0046174
580.2	0.004887257
580.4	0.005172886
580.6	0.005456805
580.8	0.005736961
