Typical Measured Spectrum of Semrock BLP01-647R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
433,8	7,3769e-06
434,0	7,5539e-06
434,2	7,6713e-06
434,4	7,7906e-06
434,6	7,9116e-06
434,8	8,0346e-06
435,0	8,1595e-06
435,2	8,2863e-06
435,4	8,4151e-06
435,6	8,5459e-06
435,8	8,6787e-06
436,0	8,8136e-06
436,2	8,9506e-06
436,4	9,0897e-06
436,6	9,231e-06
436,8	9,3745e-06
437,0	9,5202e-06
437,2	9,6681e-06
437,4	9,8184e-06
437,6	9,945e-06
437,8	9,99e-06
438,0	1,0035e-05
438,2	1,0081e-05
438,4	1,0126e-05
438,6	1,0172e-05
438,8	1,0218e-05
439,0	1,0264e-05
439,2	1,0311e-05
439,4	1,0358e-05
439,6	1,0404e-05
439,8	1,0452e-05
440,0	1,0499e-05
440,2	1,0546e-05
440,4	1,0594e-05
440,6	1,0642e-05
440,8	1,069e-05
441,0	1,0739e-05
441,2	1,0787e-05
441,4	1,0811e-05
441,6	1,0825e-05
441,8	1,0839e-05
442,0	1,0853e-05
442,2	1,0867e-05
442,4	1,0882e-05
442,6	1,0896e-05
442,8	1,091e-05
443,0	1,0924e-05
443,2	1,0938e-05
443,4	1,0952e-05
443,6	1,0967e-05
443,8	1,0981e-05
444,0	1,0995e-05
444,2	1,1009e-05
444,4	1,1024e-05
444,6	1,1038e-05
444,8	1,1052e-05
445,0	1,1063e-05
445,2	1,1059e-05
445,4	1,1055e-05
445,6	1,1052e-05
445,8	1,1048e-05
446,0	1,1044e-05
446,2	1,104e-05
446,4	1,1036e-05
446,6	1,1033e-05
446,8	1,1029e-05
447,0	1,1025e-05
447,2	1,1021e-05
447,4	1,1017e-05
447,6	1,1014e-05
447,8	1,101e-05
448,0	1,1006e-05
448,2	1,1002e-05
448,4	1,0999e-05
448,6	1,0995e-05
448,8	1,107e-05
449,0	1,1179e-05
449,2	1,129e-05
449,4	1,1401e-05
449,6	1,1514e-05
449,8	1,1628e-05
450,0	1,1743e-05
450,2	1,1859e-05
450,4	1,1976e-05
450,6	1,2095e-05
450,8	1,2214e-05
451,0	1,2335e-05
451,2	1,2457e-05
451,4	1,258e-05
451,6	1,2704e-05
451,8	1,283e-05
452,0	1,2957e-05
452,2	1,3085e-05
452,4	1,3227e-05
452,6	1,3422e-05
452,8	1,3619e-05
453,0	1,3819e-05
453,2	1,4022e-05
453,4	1,4228e-05
453,6	1,4437e-05
453,8	1,465e-05
454,0	1,4865e-05
454,2	1,5083e-05
454,4	1,5305e-05
454,6	1,553e-05
454,8	1,5758e-05
455,0	1,599e-05
455,2	1,6225e-05
455,4	1,6463e-05
455,6	1,6705e-05
455,8	1,6951e-05
456,0	1,72e-05
456,2	1,7038e-05
456,4	1,672e-05
456,6	1,6408e-05
456,8	1,6101e-05
457,0	1,5801e-05
457,2	1,5506e-05
457,4	1,5216e-05
457,6	1,4932e-05
457,8	1,4654e-05
458,0	1,438e-05
458,2	1,4112e-05
458,4	1,3848e-05
458,6	1,359e-05
458,8	1,3336e-05
459,0	1,3087e-05
459,2	1,2843e-05
459,4	1,2603e-05
459,6	1,2368e-05
459,8	1,2188e-05
460,0	1,2165e-05
460,2	1,2143e-05
460,4	1,2121e-05
460,6	1,2099e-05
460,8	1,2076e-05
461,0	1,2054e-05
461,2	1,2032e-05
461,4	1,201e-05
461,6	1,1988e-05
461,8	1,1966e-05
462,0	1,1944e-05
462,2	1,1922e-05
462,4	1,19e-05
462,6	1,1878e-05
462,8	1,1856e-05
463,0	1,1835e-05
463,2	1,1813e-05
463,4	1,1791e-05
463,6	1,1652e-05
463,8	1,1484e-05
464,0	1,1317e-05
464,2	1,1154e-05
464,4	1,0992e-05
464,6	1,0833e-05
464,8	1,0676e-05
465,0	1,0522e-05
465,2	1,037e-05
465,4	1,0219e-05
465,6	1,0072e-05
465,8	9,9258e-06
466,0	9,7822e-06
466,2	9,6406e-06
466,4	9,5011e-06
466,6	9,3636e-06
466,8	9,228e-06
467,0	9,0945e-06
467,2	7,561e-06
467,4	4,4505e-06
467,6	2,6197e-06
467,8	1,542e-06
468,0	9,0763e-07
468,2	9,1296e-07
468,4	9,1831e-07
468,6	9,237e-07
468,8	9,2912e-07
469,0	9,3457e-07
469,2	9,4006e-07
469,4	9,4557e-07
469,6	9,5112e-07
469,8	9,567e-07
470,0	9,6232e-07
470,2	9,6796e-07
470,4	9,7364e-07
470,6	9,8114e-07
470,8	9,9397e-07
471,0	1,007e-06
471,2	1,0201e-06
471,4	1,0335e-06
471,6	1,047e-06
471,8	1,0607e-06
472,0	1,0746e-06
472,2	1,0886e-06
472,4	1,1029e-06
472,6	1,1173e-06
472,8	1,1319e-06
473,0	1,1467e-06
473,2	1,1617e-06
473,4	1,1769e-06
473,6	1,1923e-06
473,8	1,2079e-06
474,0	1,2237e-06
474,2	1,2397e-06
474,4	1,2227e-06
474,6	1,196e-06
474,8	1,17e-06
475,0	1,1444e-06
475,2	1,1195e-06
475,4	1,0951e-06
475,6	1,0712e-06
475,8	1,0478e-06
476,0	1,0249e-06
476,2	1,0026e-06
476,4	9,8072e-07
476,6	9,5933e-07
476,8	9,384e-07
477,0	9,1794e-07
477,2	8,9791e-07
477,4	8,7833e-07
477,6	8,5917e-07
477,8	8,4043e-07
478,0	8,4307e-07
478,2	9,0087e-07
478,4	9,6264e-07
478,6	1,0287e-06
478,8	1,0992e-06
479,0	1,1746e-06
479,2	1,2551e-06
479,4	1,3412e-06
479,6	1,4331e-06
479,8	1,5314e-06
480,0	1,6364e-06
480,2	1,7486e-06
480,4	1,8685e-06
480,6	1,9966e-06
480,8	2,1335e-06
481,0	2,2798e-06
481,2	2,4361e-06
481,4	2,6032e-06
481,6	2,7817e-06
481,8	2,6174e-06
482,0	2,3927e-06
482,2	2,1873e-06
482,4	1,9995e-06
482,6	1,8278e-06
482,8	1,6709e-06
483,0	1,5275e-06
483,2	1,3963e-06
483,4	1,2765e-06
483,6	1,1669e-06
483,8	1,0667e-06
484,0	9,7514e-07
