Typical Measured Spectrum of Semrock BLP01-568R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
601,694	0,990705486070055
601,8605	0,990693934457366
602,027	0,990423085501836
602,1935	0,990243900597107
602,3605	0,989839746327975
602,5265	0,989558452556043
602,6935	0,988991002235103
602,8595	0,988439255044905
603,0265	0,987824440667174
603,1925	0,987416924098582
603,3595	0,986713001797514
603,5255	0,986334590189661
603,6925	0,985799551940235
603,8585	0,9852226296486
604,0255	0,984501267688555
604,1915	0,983881346634486
604,3585	0,983649312024533
604,5245	0,983650562042456
604,6915	0,983265919912794
604,8575	0,983542342034762
605,0245	0,983179264633864
605,1905	0,983204556732028
605,357	0,983163852578729
605,5235	0,983583337688719
605,69	0,984139929073685
605,8565	0,984583994915366
606,0225	0,984747097108216
606,1895	0,984944264966475
606,3555	0,985946714804457
606,5225	0,98594935397126
606,6885	0,986716344905097
606,855	0,987411463013998
607,0215	0,987565476121137
607,1875	0,988039756476499
607,3545	0,988913685880068
607,5205	0,988871483960053
607,687	0,989309563548372
607,8535	0,989440284336621
608,015666666667	0,987589582913186
608,1945	0,985374148338126
608,362	0,98566741348808
608,529	0,985643085307614
608,6965	0,985465131675517
608,864	0,985187792086056
609,031	0,985396411105504
609,1985	0,985144537699658
609,366	0,984611657403793
609,533	0,983980453027372
609,7005	0,983721458575427
609,868	0,982789774982701
610,035	0,982590287153701
610,202	0,982311562886526
610,3695	0,982001623758054
610,537	0,980894631433948
610,704	0,980541950849344
610,8715	0,979845209171333
611,0385	0,979671845628857
611,206	0,979024213852412
611,373	0,978145779359175
611,5405	0,977980690852183
611,708	0,978089714548523
611,875	0,977607089965063
612,042	0,976897764515584
612,2095	0,976518732819608
612,377	0,976798715965977
612,544	0,977029642336233
612,711	0,977300683262681
612,8785	0,977047135579196
613,0455	0,977262946967596
613,213	0,977908137688945
613,38	0,978467905095101
613,547	0,978482995713781
613,7145	0,979108487580643
613,8815	0,979512591538236
614,049	0,979677003958635
614,216	0,980147804665971
614,383	0,98110028072442
614,5505	0,981186248662069
614,7175	0,982165985291869
614,885	0,982437423110146
615,052	0,982964512514056
615,219	0,983561851097576
615,386	0,983643932610396
615,5535	0,98406219549191
615,7205	0,984435827062346
615,888	0,98478543215484
616,055	0,985292378630146
616,222	0,985441391965569
616,389	0,98524943670084
616,5565	0,985589634780467
616,7235	0,98543569433727
616,8905	0,985296922240463
617,0575	0,985327911530938
617,225	0,98518225502192
617,392	0,985118232230028
617,559	0,98485863957884
617,726	0,984051609334815
617,893	0,984106000086187
618,0605	0,983607792842575
618,2275	0,983118700841576
618,3945	0,983122702483151
618,5615	0,982399034086537
618,7285	0,981937278131464
618,896	0,981668225055758
619,063	0,981574439228636
619,23	0,980749767873474
619,397	0,980337325037056
619,564	0,98038743074762
619,731	0,980383569435794
619,898	0,979587814674872
620,065	0,979452026124452
620,232	0,979421183183194
620,399	0,979726680935984
620,5665	0,97953147877074
620,7335	0,979110814168938
620,9005	0,979183522336929
621,0675	0,979579698084261
621,2345	0,97971545352569
621,4015	0,979573607767108
621,5685	0,979736498675767
621,7355	0,980114762861358
621,9025	0,980010043238374
622,0695	0,980578267160826
622,2365	0,980527041979706
622,4035	0,98034652823708
622,5705	0,981163059250594
622,7375	0,981304697456236
622,9045	0,981644211131449
623,0715	0,981904164460481
623,2385	0,982088911332328
623,405	0,982075709610228
623,572	0,982864791619485
623,739	0,982719808585698
623,906	0,982822539803454
624,073	0,982917359143667
624,24	0,98282733741615
624,407	0,983297905584332
624,574	0,983446862536712
624,7405	0,982810402604638
624,9075	0,982775489089655
625,0745	0,982260227544174
