Typical Measured Spectrum of Semrock FF01-561/14 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
485.8	1.3569E-06
486	1.3808E-06
486.2	1.405E-06
486.4	1.4298E-06
486.6	1.4549E-06
486.8	1.4805E-06
487	1.4938E-06
487.2	1.4994E-06
487.4	1.5051E-06
487.6	1.5109E-06
487.8	1.5166E-06
488	1.5224E-06
488.2	1.5282E-06
488.4	1.534E-06
488.6	1.5398E-06
488.8	1.5457E-06
489	1.5549E-06
489.2	1.5671E-06
489.4	1.5794E-06
489.6	1.5918E-06
489.8	1.6043E-06
490	1.6169E-06
490.2	1.6296E-06
490.4	1.6424E-06
490.6	1.6553E-06
490.8	1.6683E-06
491	2.2113E-07
491.2	2.9843E-08
491.4	1.9231E-08
491.6	1.3259E-08
491.8	1.7389E-08
492	2.2805E-08
492.2	2.1019E-08
492.4	1.4927E-08
492.6	1.5899E-08
492.8	2.4438E-08
493	3.74E-08
493.2	2.4042E-08
493.4	1.5455E-08
493.6	1.5842E-08
493.8	2.6918E-08
494	3.0097E-08
494.2	1.9323E-08
494.4	1.2406E-08
494.6	1.1859E-08
494.8	1.1792E-08
495	1.1732E-08
495.2	1.1684E-08
495.4	1.2777E-08
495.6	1.6751E-08
495.8	2.1962E-08
496	1.842E-08
496.2	1.3959E-08
496.4	1.1475E-08
496.6	1.1456E-08
496.8	1.272E-08
497	1.9596E-08
497.2	3.019E-08
497.4	3.0162E-08
497.6	2.5569E-08
497.8	2.0937E-08
498	1.499E-08
498.2	1.1936E-08
498.4	2.246E-08
498.6	4.2263E-08
498.8	3.7706E-08
499	1.9812E-08
499.2	1.1094E-08
499.4	1.5509E-08
499.6	2.1416E-08
499.8	1.6193E-08
500	1.2244E-08
500.2	1.0631E-08
500.4	1.06E-08
500.6	1.0569E-08
500.8	1.0541E-08
501	1.0514E-08
501.2	1.5652E-08
501.4	2.407E-08
501.6	3.4722E-08
501.8	4.551E-08
502	5.965E-08
502.2	5.6776E-08
502.4	5.1734E-08
502.6	2.9749E-08
502.8	1.5619E-08
503	1.0937E-08
503.2	1.4326E-08
503.4	1.8764E-08
503.6	3.3819E-08
503.8	6.6183E-08
504	4.2685E-08
504.2	1.8639E-08
504.4	9.763E-09
504.6	9.747E-09
504.8	9.7309E-09
505	1.5445E-08
505.2	2.9904E-08
505.4	4.2732E-08
505.6	5.0081E-08
505.8	5.7542E-08
506	5.3417E-08
506.2	4.9587E-08
506.4	5.4534E-08
506.6	6.8334E-08
