Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
565.8	0.0056
566.0	0.00551
566.2	0.00539
566.4	0.00527
566.6	0.00518
566.8	0.00502
567.0	0.00484
567.2	0.00471
567.4	0.00458
567.6	0.0044
567.8	0.00424
568.0	0.00407
568.2	0.00392
568.4	0.00373
568.6	0.00361
568.8	0.00343
569.0	0.00328
569.2	0.00314
569.4	0.003
569.6	0.00286
569.8	0.00271
570.0	0.00258
570.2	0.00246
570.4	0.00235
570.6	0.00223
570.8	0.00213
571.0	0.00202
571.2	0.00194
571.4	0.00184
571.6	0.00178
571.8	0.0017
572.0	0.00164
572.2	0.00158
572.4	0.00153
572.6	0.00148
572.8	0.00144
573.0	0.0014
573.2	0.00136
573.4	0.00134
573.6	0.00131
573.8	0.0013
574.0	0.00127
574.2	0.00127
574.4	0.00126
574.6	0.00125
574.8	0.00125
575.0	0.00125
575.2	0.00124
575.4	0.00126
575.6	0.00126
575.8	0.00128
576.0	0.00131
576.2	0.00133
576.4	0.00136
576.6	0.0014
576.8	0.00144
577.0	0.00148
577.2	0.00153
577.4	0.00159
577.6	0.00167
577.8	0.00175
578.0	0.00183
578.2	0.00193
578.4	0.00205
578.6	0.00217
578.8	0.00231
579.0	0.00248
579.2	0.00268
579.4	0.00291
579.6	0.00324
579.8	0.00355
580.0	0.00387
580.2	0.00422
580.4	0.00464
580.6	0.00509
580.8	0.0056
581.0	0.00611
581.2	0.00666
581.4	0.00719
581.6	0.00778
581.8	0.00838
582.0	0.00894
582.2	0.00947
582.4	0.00997
582.6	0.01046
582.8	0.01082
583.0	0.01115
583.2	0.01136
583.4	0.0116
583.6	0.01169
583.8	0.01167
584.0	0.0116
584.2	0.01143
584.4	0.01113
584.6	0.01084
584.8	0.01043
585.0	0.00997
585.2	0.00948
585.4	0.00884
585.6	0.00836
585.8	0.00785
586.0	0.00739
586.2	0.0069
586.4	0.00647
586.6	0.00606
586.8	0.00568
587.0	0.00532
587.2	0.00498
587.4	0.00468
587.6	0.00444
587.8	0.00421
588.0	0.00404
